Name,Subposition,Value,Salary,Team,Team Name
James Harden,SG,32.36363636,10693.34251,11,Houston
James Harden,PG,32.36363636,10693.34251,11,Houston
Kevin Durant,SG,27.08064516,9284.432042,18,Golden State
Kevin Durant,SF,27.08064516,9284.432042,18,Golden State
Chris Paul,PG,28.28472222,8619.019021,11,Houston
Draymond Green,SF,27.33823529,8119.819553,18,Golden State
Draymond Green,PF,27.33823529,8119.819553,18,Golden State
DeAndre Jordan,C,27.54054054,7316.723313,21,LA Clippers
LaMarcus Aldridge,C,24.36029412,6577.812262,15,San Antonio
LaMarcus Aldridge,PF,24.36029412,6577.812262,15,San Antonio
Tobias Harris,SF,22.51851852,6617.191016,21,LA Clippers
Tobias Harris,PF,22.51851852,6617.191016,21,LA Clippers
Clint Capela,C,21.4125,6176.075985,11,Houston
Lou Williams,SG,21.48214286,6375.024342,21,LA Clippers
Klay Thompson,SG,17.55645161,7255.747967,18,Golden State
Lauri Markkanen,PF,18.46774194,5579.871428,14,Chicago
Nikola Mirotic,PF,17.49324324,5549.189202,14,Chicago
Austin Rivers,SG,18.7,4510.399593,21,LA Clippers
Dejounte Murray,PG,18.98717949,3784.529752,15,San Antonio
Bobby Portis,PF,18.41463415,4384.198848,14,Chicago
Pau Gasol,C,18.09459459,5127.689155,15,San Antonio
Pau Gasol,PF,18.09459459,5127.689155,15,San Antonio
Tim Hardaway Jr.,SG,17.22058824,5269.393075,30,New York
Michael Beasley,PF,17.525,4399.559518,30,New York
Michael Beasley,SF,17.525,4399.559518,30,New York
Kyle Anderson,SF,16.59375,3945.244192,15,San Antonio
Kyle Anderson,SG,16.59375,3945.244192,15,San Antonio
Trevor Ariza,SF,15.08870968,5543.609786,11,Houston
Eric Gordon,SG,15.16911765,4973.251569,11,Houston
Rudy Gay,SF,13.36111111,5807.865897,15,San Antonio
Jarrett Jack,SG,15,4356.881892,30,New York
Jarrett Jack,PG,15,4356.881892,30,New York
Justin Holiday,SG,13.14393939,4389.757136,14,Chicago
Jerian Grant,PG,13.8030303,4088.21755,14,Chicago
Trey Burke,PG,15.36290323,3299.460769,30,New York
Cameron Payne,PG,14.55,3348.071321,14,Chicago
Andre Iguodala,SG,13.56451613,4372.245601,18,Golden State
Andre Iguodala,SF,13.56451613,4372.245601,18,Golden State
Montrezl Harrell,PF,13.1547619,3791.975161,21,LA Clippers
Kyle O'Quinn,C,13.67361111,3813.536382,30,New York
Kyle O'Quinn,PF,13.67361111,3813.536382,30,New York
Tyrone Wallace,SG,12.76,4305.1208,21,LA Clippers
Robin Lopez,C,11.20535714,4621.995744,14,Chicago
Quinn Cook,PG,13.65277778,3011.95085,18,Golden State
Danny Green,SG,11.51470588,4306.835303,15,San Antonio
